station_id,stationname,date,daytype,R_2017,R_2018,R_2019,R_2020,R_2021,R_2022,R_2023,longitude,latitude
41320,Belmont-North Main,7/4/2017,U,"7,925","6,622","5,638","1,426","3,983","2,866","3,679",-87.65338625,41.93975861
41000,Cermak-Chinatown,7/4/2017,U,"3,913","3,508","3,817",630,"2,730","2,335","2,981",-87.63097357,41.85321365
41450,Chicago/State,7/4/2017,U,"12,115","9,868","10,105","1,780","4,276","3,904","4,635",-87.6281821,41.89667907
40630,Clark/Division,7/4/2017,U,"5,898","6,068","5,175","1,132","3,446","2,401","3,050",-87.63141805,41.90392817
40380,Clark/Lake,7/4/2017,U,"5,774","5,010","5,269","1,308","3,188","2,791","3,288",-87.63089177,41.88574484
41220,Fullerton,7/4/2017,U,"4,669","4,628","4,230",919,"2,631","2,131","2,758",-87.6528716,41.92505923
40330,Grand/State,7/4/2017,U,"13,553","13,101","11,237","1,478","5,670","4,745","5,441",-87.62802701,41.89167306
41660,Lake/State,7/4/2017,U,"11,682","11,055","10,080","2,202","5,077","4,699","5,669",-87.62781913,41.88481672
40890,O'Hare Airport,7/4/2017,U,"11,952","10,597","11,337","2,046","4,921","7,183","7,464",-87.90185424,41.97888459
41400,Roosevelt,7/4/2017,U,"7,882","8,264","7,665","2,106","3,657","3,526","5,099",-87.62659563,41.86741281
40190,Sox-35th-Dan Ryan,7/4/2017,U,"2,463","2,323","6,669",652,725,"3,614","4,606",-87.63064204,41.83119841
40260,State/Lake,7/4/2017,U,"6,094","6,974","6,898","1,719","3,809","3,587","4,772",-87.62784093,41.88574827
40370,Washington/Dearborn,7/4/2017,U,"6,147","5,337","6,368","1,124","2,904","3,017","3,081",-87.62944581,41.88317228
41700,Washington/Wabash,7/4/2017,U,0,"5,932","6,229","1,406","2,718","2,754","3,515",-87.62619453,41.88322787
40540,Wilson,7/4/2017,U,"2,499","3,564","3,515","1,235","2,386","2,032","3,011",-87.65773981,41.96426203
