station_id,stationname,date,daytype,rides
40890,O'Hare Airport,07/04/2023,U,7464
41660,Lake/State,07/04/2023,U,5669
40330,Grand/State,07/04/2023,U,5441
41400,Roosevelt,07/04/2023,U,5099
40260,State/Lake,07/04/2023,U,4772
41450,Chicago/State,07/04/2023,U,4635
40190,Sox-35th-Dan Ryan,07/04/2023,U,4606
41320,Belmont-North Main,07/04/2023,U,3679
41700,Washington/Wabash,07/04/2023,U,3515
40380,Clark/Lake,07/04/2023,U,3288
40370,Washington/Dearborn,07/04/2023,U,3081
40630,Clark/Division,07/04/2023,U,3050
40540,Wilson,07/04/2023,U,3011
41000,Cermak-Chinatown,07/04/2023,U,2981
41220,Fullerton,07/04/2023,U,2758
40450,95th/Dan Ryan,07/04/2023,U,2542
41420,Addison-North Main,07/04/2023,U,2520
40930,Midway Airport,07/04/2023,U,2384
40820,Rosemont,07/04/2023,U,2083
40240,79th,07/04/2023,U,2058
41280,Jefferson Park,07/04/2023,U,1931
40900,Howard,07/04/2023,U,1871
41490,Harrison,07/04/2023,U,1786
41380,Bryn Mawr,07/04/2023,U,1734
40560,Jackson/State,07/04/2023,U,1734
40650,North/Clybourn,07/04/2023,U,1720
40680,Adams/Wabash,07/04/2023,U,1698
41090,Monroe/State,07/04/2023,U,1640
41020,Logan Square,07/04/2023,U,1605
40590,Damen/Milwaukee,07/04/2023,U,1582
41300,Loyola,07/04/2023,U,1567
41510,Morgan-Lake,07/04/2023,U,1553
41690,Cermak-McCormick Place,07/04/2023,U,1533
41200,Argyle,07/04/2023,U,1521
40320,Division/Milwaukee,07/04/2023,U,1469
40060,Belmont-O'Hare,07/04/2023,U,1465
40100,Morse,07/04/2023,U,1457
40990,69th,07/04/2023,U,1387
40080,Sheridan,07/04/2023,U,1386
40570,California/Milwaukee,07/04/2023,U,1361
40710,Chicago/Franklin,07/04/2023,U,1325
41290,Kimball,07/04/2023,U,1314
40670,Western/Milwaukee,07/04/2023,U,1225
40040,Quincy/Wells,07/04/2023,U,1222
40960,Pulaski-Orange,07/04/2023,U,1189
41430,87th,07/04/2023,U,1128
40800,Sedgwick,07/04/2023,U,1118
40070,Jackson/Dearborn,07/04/2023,U,1109
40310,Western-Orange,07/04/2023,U,1100
40550,Irving Park-O'Hare,07/04/2023,U,1086
40050,Davis,07/04/2023,U,1052
